FL_DATE,AIRLINE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,ORIGIN_CITY_MAXTEMP_C,ORIGIN_CITY_MINTEMP_C,ORIGIN_CITY_AVGTEMP_C,ORIGIN_CITY_MAXWIND_KPH,ORIGIN_CITY_TOTALPRECIP_MM,ORIGIN_CITY_AVGVIS_KM,ORIGIN_CITY_AVGHUMIDITY,ORIGIN_CITY_TEXT,ORIGIN_CITY_DAILY_CHANCE_OF_RAIN,ORIGIN_CITY_DAILY_CHANCE_OF_SNOW,DEST_CITY_MAXTEMP_C,DEST_CITY_MINTEMP_C,DEST_CITY_AVGTEMP_C,DEST_CITY_MAXWIND_KPH,DEST_CITY_TOTALPRECIP_MM,DEST_CITY_AVGVIS_KM,DEST_CITY_AVGHUMIDITY,DEST_CITY_TEXT,DEST_CITY_DAILY_CHANCE_OF_RAIN,DEST_CITY_DAILY_CHANCE_OF_SNOW
2023-07-18,Alaska Airlines Inc.,19930,427,RDU,"Raleigh/Durham, NC",SEA,"Seattle, WA",715,1006,0.0,351.0,2354.0,24.9,21.1,23.0,6.5,6.25,6.8,97,Heavy rain at times,100,0,26.6,10.8,18.6,15.1,0.0,10.0,65,Cloudy,0,0
2023-08-26,Endeavor Air Inc.,20363,4972,LGA,"New York, NY",GSP,"Greer, SC",950,1159,0.0,129.0,610.0,31.8,19.1,25.3,23.0,2.7,9.9,70,Light rain shower,100,0,38.7,21.3,27.9,20.5,2.7,9.8,65,Patchy rain possible,100,0
2023-08-30,JetBlue Airways,20409,2122,ACK,"Nantucket, MA",HPN,"White Plains, NY",1857,2000,0.0,63.0,191.0,23.1,20.7,21.8,31.0,1.4,9.9,95,Light rain shower,100,0,28.9,20.4,23.8,22.0,8.1,9.5,75,Light rain shower,100,0
2023-05-12,Southwest Airlines Co.,19393,266,LAS,"Las Vegas, NV",DAL,"Dallas, TX",1450,1930,0.0,160.0,1067.0,32.8,17.5,25.7,16.2,0.0,10.0,14,Sunny,0,0,29.7,21.2,24.7,24.1,8.65,9.3,79,Moderate or heavy rain shower,100,0
2023-08-16,Southwest Airlines Co.,19393,3530,RNO,"Reno, NV",PHX,"Phoenix, AZ",1810,1955,0.0,105.0,601.0,33.4,19.1,25.4,20.5,0.4,10.0,42,Overcast,100,0,44.6,32.4,38.0,13.0,1.7,9.9,24,Heavy rain at times,100,0
2023-07-28,PSA Airlines Inc.,20397,5586,SBN,"South Bend, IN",CLT,"Charlotte, NC",1721,1913,0.0,112.0,534.0,33.6,22.2,27.0,18.4,10.8,10.0,69,Moderate or heavy rain shower,100,0,36.3,23.3,29.2,11.2,0.8,9.9,60,Moderate rain at times,100,0
2023-08-01,Southwest Airlines Co.,19393,3252,LAX,"Los Angeles, CA",PHX,"Phoenix, AZ",1115,1245,0.0,90.0,370.0,30.8,21.9,25.6,16.2,0.0,10.0,59,Overcast,0,0,41.6,29.8,35.5,15.5,1.2,10.0,32,Partly cloudy,100,0
2023-05-23,American Airlines Inc.,19805,2008,LAX,"Los Angeles, CA",PHL,"Philadelphia, PA",900,1720,0.0,320.0,2402.0,22.9,15.4,18.3,17.6,0.0,10.0,64,Cloudy,0,0,23.1,12.3,17.1,16.2,0.0,10.0,52,Partly cloudy,0,0
2023-08-18,Alaska Airlines Inc.,19930,65,SEA,"Seattle, WA",KTN,"Ketchikan, AK",810,918,0.0,128.0,680.0,25.2,14.7,19.0,13.3,0.0,10.0,61,Overcast,0,0,16.7,10.0,13.5,11.5,0.0,10.0,79,Cloudy,0,0
2023-05-14,JetBlue Airways,20409,134,JFK,"New York, NY",BTV,"Burlington, VT",1355,1513,0.0,78.0,266.0,23.8,14.1,18.1,20.9,0.0,10.0,35,Overcast,0,0,14.9,3.7,9.1,22.3,0.0,10.0,59,Partly cloudy,0,0
2023-07-02,Delta Air Lines Inc.,19790,2380,LGA,"New York, NY",MSY,"New Orleans, LA",1110,1323,0.0,193.0,1183.0,28.1,19.9,23.5,18.0,16.8,9.9,83,Moderate or heavy rain shower,100,0,34.8,26.5,30.5,17.6,0.2,10.0,61,Patchy rain possible,100,0
2023-06-30,United Air Lines Inc.,19977,2675,MSP,"Minneapolis, MN",IAH,"Houston, TX",815,1103,0.0,168.0,1034.0,29.7,18.6,24.4,15.5,0.0,10.0,57,Cloudy,0,0,38.0,26.2,31.5,22.3,0.0,10.0,62,Overcast,0,0
2023-08-19,SkyWest Airlines Inc.,20304,4873,LAX,"Los Angeles, CA",ABQ,"Albuquerque, NM",1600,1859,0.0,119.0,677.0,29.8,19.8,23.9,13.3,0.3,9.9,52,Patchy rain possible,100,0,37.0,21.0,28.5,31.5,0.0,10.0,20,Overcast,0,0
2023-06-17,PSA Airlines Inc.,20397,5334,DCA,"Washington, DC",BTV,"Burlington, VT",2215,2353,0.0,98.0,437.0,29.4,15.2,22.3,22.7,0.0,10.0,55,Partly cloudy,0,0,16.8,14.7,15.4,10.0,30.4,4.5,96,Moderate or heavy rain shower,100,0
2023-06-20,Southwest Airlines Co.,19393,2493,STL,"St. Louis, MO",DEN,"Denver, CO",2020,2135,0.0,135.0,770.0,34.1,23.8,27.5,28.4,0.0,10.0,68,Cloudy,0,0,29.3,14.4,21.2,18.4,0.0,10.0,29,Overcast,0,0
2023-07-18,Delta Air Lines Inc.,19790,1354,ATL,"Atlanta, GA",ABQ,"Albuquerque, NM",850,958,0.0,188.0,1269.0,35.0,21.7,28.7,13.7,0.0,10.0,39,Partly cloudy,0,0,40.4,22.7,31.8,30.4,0.1,10.0,24,Patchy rain possible,100,0
2023-07-17,American Airlines Inc.,19805,1921,MIA,"Miami, FL",TPA,"Tampa, FL",2053,2200,0.0,67.0,204.0,32.1,27.7,29.4,18.4,3.7,9.7,73,Moderate or heavy rain shower,100,0,31.8,26.6,28.4,17.6,13.8,9.4,71,Moderate or heavy rain shower,100,0
2023-08-02,United Air Lines Inc.,19977,1134,BTV,"Burlington, VT",DEN,"Denver, CO",1457,1714,0.0,257.0,1639.0,22.0,11.4,16.6,11.5,0.0,10.0,69,Partly cloudy,0,0,29.1,14.1,22.2,14.8,2.5,9.8,60,Heavy rain at times,100,0
